,TripID,VehicleID,ChargeType,Location,SoCStart,SoCEnd,dE,Pmax,t0,t1,t2,lbd
3210,2005179317,2005006066,home,571,0.18559265879408407,0.9997310462962791,32.5655355000878,3.7,1010.0,1536.5901777930585,1950.0,0.013553100058347901
909,2009148893,2009005236,home,137,0.2364710035568568,1.0,30.541159857725727,3.7,1010.0,1499.0877123659532,2060.0,0.013553100058347901
1686,2014174592,2014006364,home,291,0.11875,0.9992182726259605,35.21873090503842,3.7,1015.0,1590.859950859951,1940.0,0.013553100058347901
471,2007196468,2007006940,home,53,0.4398860500633662,0.6162527167300328,7.054666666666667,3.7,1015.0,1354.1503316486244,1145.0,0.013553100058347901
1520,2016072914,2016002756,home,266,0.15195795131147155,0.9997320843728833,33.91096532245647,3.7,1015.0,1566.3823454706599,1980.0,0.013553100058347901
2520,2006001001,2006000034,home,447,0.5486157699396635,1.0,18.05536920241346,3.7,1018.0,1277.005574983049,1991.0,0.013553100058347901
1999,2004252065,2004008090,home,355,0.119,0.9998221375240716,35.232885500962865,3.7,1020.0,1595.6756756756756,2030.0,0.013553100058347901
794,2014226586,2014008231,home,104,0.19066187637480592,0.9990626219292702,32.336029822178574,3.7,1020.0,1542.8536537777843,1880.0,0.013553100058347901
1159,2005134200,2005004507,home,178,0.11875,0.9979720792531148,35.168883170124595,3.7,1020.0,1595.859950859951,1880.0,0.013553100058347901
3591,2008090958,2008003159,home,636,0.3236898232230834,0.43900648988975,4.612666666666667,3.7,1020.0,1444.7986561009213,1105.0,0.013553100058347901
